title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat,Cluster,ClusterName
Color of Victory,2024,157.0,"Drama,History,Sport",6.1,40505,10.609205390269926,0.3465066174207448,0.6958448753462604,0.2411148540057925,-0.3493382579255155,2020,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Medium,Many,Epic,3,Mainstream Popcorn
Private Parts,1997,109.0,"Biography,Comedy,Drama",6.9,40502,10.609131324425356,0.6645737149892275,0.6957833179439827,0.4623993044335634,-0.0312096029547552,1990,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,1,Mass Favorites
The Invitation,2022,105.0,"Horror,Thriller",5.3,40479,10.608563303961349,0.1303170206217297,0.6957217605417051,0.0906643870154995,-0.5654047399199753,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Low,Many,Long,3,Mainstream Popcorn
The Discovery,2017,102.0,"Drama,Romance,Sci-Fi",6.2,40472,10.608390364106926,0.3853185595567867,0.6956602031394276,0.2680507874146658,-0.3103416435826409,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Smolensk,2016,120.0,"Drama,Thriller",1.2,40450,10.60784664405992,0.0004616805170821,0.6955986457371499,0.0003211443424455,-0.6951369652200677,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Many,Epic,0,Forgotten Films
Prospect,2018,100.0,"Adventure,Drama,Sci-Fi",6.3,40417,10.607030509278191,0.4253924284395198,0.6955370883348723,0.2958762110765242,-0.2701446598953524,2010,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
Welcome to the Dollhouse,1995,88.0,"Comedy,Drama",7.3,40410,10.606857304116248,0.8087719298245614,0.6954755309325946,0.562481087298116,0.1132963988919667,1990,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Short,1,Mass Favorites
The Darkest Minds,2018,104.0,"Action,Adventure,Drama",5.7,40406,10.606758316266925,0.2252693136349646,0.695413973530317,0.1566554285093379,-0.4701446598953523,2010,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,Many,Standard,3,Mainstream Popcorn
Velvet Goldmine,1998,123.0,"Drama,Music",6.9,40404,10.606708818667547,0.6645737149892275,0.6953524161280394,0.4621129384129464,-0.0307787011388119,1990,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
Stalingrad,1993,134.0,"Drama,War",7.5,40403,10.606684068949075,0.8704524469067405,0.6952908587257618,0.6052176292897282,0.1751615881809787,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Top,Many,Epic,1,Mass Favorites
The Promised Land,2023,127.0,"Action,Biography,Drama",7.7,40401,10.606634567674408,0.918344105878732,0.6952293013234842,0.6384597311046105,0.2231148045552478,2020,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Epic,1,Mass Favorites
The Swimmers,2022,134.0,"Biography,Drama,Sport",7.4,40386,10.606263229988029,0.8412126808248692,0.6951677439212065,0.5847839214869343,0.1460449369036627,2020,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Top,Many,Epic,1,Mass Favorites
Anna and the King,1999,148.0,"Drama,History,Romance",6.7,40380,10.606114656295205,0.5894736842105263,0.6951061865189289,0.4097468046848422,-0.1056325023084026,1990,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,High,Many,Epic,3,Mainstream Popcorn
The Divide,2011,112.0,"Drama,Horror,Sci-Fi",5.7,40368,10.605817442670729,0.2252693136349646,0.6950446291166513,0.1565722265467765,-0.4697753154816867,2010,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Low,Many,Long,3,Mainstream Popcorn
Greenberg,2010,107.0,"Comedy,Drama,Romance",6.1,40330,10.604875682997651,0.3465066174207448,0.6949830717143737,0.2408162333444265,-0.3484764542936288,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
Boy Kills World,2023,111.0,"Action,Adventure,Comedy",6.4,40322,10.604677304739258,0.4660818713450292,0.694921514312096,0.3238903198285032,-0.2288396429670667,2020,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
Paranoia,2013,106.0,"Drama,Thriller",5.6,40317,10.604553298340369,0.1974453678054786,0.6948599569098184,0.1371968797653581,-0.4974145891043398,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Many,Long,3,Mainstream Popcorn
Everybody Knows,2018,133.0,"Crime,Drama,Mystery",6.9,40287,10.603808936844072,0.6645737149892275,0.6947983995075407,0.4617447535292958,-0.0302246845183132,2010,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
Persuasion,2022,108.0,"Comedy,Drama,Romance",5.8,40281,10.603659998032828,0.2546937519236688,0.6947368421052632,0.176945132915391,-0.4400430901815944,2020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low,Many,Long,3,Mainstream Popcorn
The Strangers: Prey at Night,2018,85.0,Horror,5.3,40250,10.60289012725858,0.1303170206217297,0.6946752847029856,0.0905280134020449,-0.5643582640812558,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low,Many,Short,3,Mainstream Popcorn
For Love of the Game,1999,137.0,"Drama,Romance,Sport",6.6,40249,10.60286528284671,0.5470606340412435,0.6946137273007079,0.3799958260708767,-0.1475530932594644,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,High,Many,Epic,3,Mainstream Popcorn
The Life List,2025,123.0,"Comedy,Drama,Romance",6.8,40241,10.602666505327791,0.6297630040012312,0.6945521698984303,0.4374032609508089,-0.064789165897199,2020,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,High,Many,Epic,3,Mainstream Popcorn
*batteries not included,1987,107.0,"Comedy,Family,Fantasy",6.6,40227,10.602318549564371,0.5470606340412435,0.6944906124961526,0.3799284748078368,-0.1474299784549091,1980,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Long,3,Mainstream Popcorn
Nine Months,1995,103.0,"Comedy,Romance",5.5,40218,10.602094799765434,0.1723607263773468,0.6944290550938751,0.1196922963535149,-0.5220683287165282,1990,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low,Many,Standard,3,Mainstream Popcorn
Parallel Mothers,2021,123.0,Drama,7.1,40193,10.601473009736322,0.736657433056325,0.6943674976915974,0.5115109784472359,0.0422899353647275,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High,Many,Epic,1,Mass Favorites
Killing Season,2013,91.0,"Action,Drama,Thriller",5.4,40142,10.6002033579731,0.1502000615574023,0.6943059402893198,0.1042847949711259,-0.5441058787319175,2010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Low,Many,Short,3,Mainstream Popcorn
Cake,2014,102.0,Drama,6.4,40141,10.600178446719438,0.4660818713450292,0.6942443828870422,0.3235747211467676,-0.2281625115420129,2010,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Standard,3,Mainstream Popcorn
One Life,2023,109.0,"Biography,Drama,History",7.5,40137,10.600078795498629,0.8704524469067405,0.6941828254847645,0.6042531390438481,0.176269621421976,2020,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Top,Many,Long,1,Mass Favorites
Shattered Glass,2003,94.0,"Drama,History",7.1,40133,10.599979134346462,0.736657433056325,0.6941212680824869,0.511329591575446,0.0425361649738381,2000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,High,Many,Short,1,Mass Favorites
Dumplin',2018,110.0,"Comedy,Drama",6.5,40086,10.598807371207691,0.50621729763004,0.6940597106802093,0.3513450311344229,-0.1878424130501693,2010,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium,Many,Long,3,Mainstream Popcorn
