title,year,runtime_minutes,genres,average_rating,num_votes,log_votes,rating_pct,votes_pct,love_score,cult_factor,decade,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,rating_cat,votes_cat,runtime_cat
Terminator 2: Judgment Day,1991,137.0,"Action,Adventure,Sci-Fi",8.6,1282423,14.064262595011902,0.9958140966451215,0.9974761465066174,0.9933008077585441,-0.0016620498614958734,1990,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
American Beauty,1999,122.0,Drama,8.3,1278772,14.061411582400982,0.9863650353955064,0.9974145891043398,0.9838148764858965,-0.011049553708833426,1990,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
American History X,1998,119.0,"Crime,Drama",8.5,1271838,14.055974442544208,0.9936595875654047,0.9973530317020621,0.9910294021381771,-0.003693444136657398,1990,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Long
The Lion King,1994,88.0,"Adventure,Animation,Drama",8.5,1256751,14.044041172959961,0.9936595875654047,0.9972914742997846,0.9909682350352184,-0.0036318867343798633,1990,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Short
Deadpool,2016,108.0,"Action,Comedy,Sci-Fi",8.0,1252079,14.040316726364384,0.9603570329332102,0.997229916897507,0.9576967641439216,-0.036872883964296777,2010,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Long
V for Vendetta,2005,132.0,"Action,Drama,Sci-Fi",8.1,1245388,14.03495848887787,0.9710987996306556,0.9971683594952293,0.9683489969354873,-0.02606955986457371,2000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Top,Massive,Epic
The Usual Suspects,1995,106.0,"Crime,Drama,Mystery",8.5,1237520,14.028620742977969,0.9936595875654047,0.9971068020929517,0.990784733726342,-0.003447214527546927,1990,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Top,Massive,Long
Catch Me If You Can,2002,141.0,"Biography,Crime,Drama",8.1,1235248,14.026783127154946,0.9710987996306556,0.997045244690674,0.9682294402965669,-0.02594644506001842,2000,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
Up,2009,96.0,"Adventure,Animation,Comedy",8.3,1233964,14.02574311999823,0.9863650353955064,0.9969836872883965,0.9833898500009617,-0.01061865189289013,2000,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Top,Massive,Standard
The Shining,1980,146.0,"Drama,Horror",8.4,1223724,14.017410043608988,0.9905817174515236,0.9969221298861188,0.9875328355880224,-0.006340412434595266,1980,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Top,Massive,Epic
